赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・上野行き（３番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：赤羽駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,埼京線・大崎行き（７番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,埼京線・大崎行き（７番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,埼京線・大崎行き（７番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,埼京線・大崎行き（７番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,埼京線・大崎行き（７番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,埼京線・大崎行き（７番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,埼京線・大崎行き（７番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：赤羽駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,埼京線・埼玉方面行き（８番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
